provider,required_client_dependency,required_service_fixture,required_trust_material,negative_fixture_requirements,missing_dependency_policy,status,notes
ldap_ad,ldap_client,OpenLDAP or AD-compatible directory,CA/trust policy for StartTLS or LDAPS,invalid bind invalid TLS missing nested group excessive group depth,fail,not_started,Real QA must prove bind search group traversal and fail-closed behavior.
kerberos_pac,gssapi_krb5,KDC realm with service principal and PAC-capable account,keytab or credential cache trust configuration,expired ticket wrong SPN bad PAC missing PAC,fail,not_started,Real QA must prove ticket validation and PAC/effective-group extraction.
pam,pam,platform PAM service,pam service configuration,account denied session denied insecure prompt wrong module,unsupported_on_host,not_started,Unsupported only on hosts without PAM; closure requires supported-host evidence.
radius,radius_client,RADIUS server,shared secret and server identity policy,access reject bad authenticator missing attributes timeout,fail,not_started,Real QA must prove Access-Request/Accept/Reject and authorization attributes.
oidc_jwt,oidc_jwt_client,OIDC issuer with JWKS,issuer JWKS audience policy,expired token alg none bad signature wrong audience overage groups,fail,not_started,Real QA must prove discovery JWKS signature audience expiry and group handling.
saml,saml_xmlsig,SAML IdP or signed assertion fixture,IdP certificate and audience policy,expired assertion bad signature wrong audience malformed XML oversized attributes,fail,not_started,Real QA must prove XML signature audience time and attribute handling.
webauthn,webauthn_fido2,software authenticator or hardware-backed QA fixture,registered credential and relying-party policy,wrong challenge wrong origin no user verification replayed assertion,skip_with_evidence,not_started,Host may skip hardware path only with recorded alternate fixture evidence.
workload_identity,spiffe_svid_or_workload_oidc,SPIRE/SPIFFE or workload OIDC fixture,trust bundle and workload selector policy,untrusted bundle expired SVID wrong SPIFFE trust domain missing service group,fail,not_started,Real QA must prove SVID/workload token validation and group materialization.
certificate_mtls,tls_x509,local CA and TLS client-auth fixture,CA chain CRL/OCSP policy EKU/SAN policy,revoked cert wrong EKU wrong SAN untrusted CA bad fingerprint,fail,not_started,Real QA must prove chain revocation EKU SAN fingerprint and binding checks.
proxy_assertion,proxy_assertion_verifier,trusted proxy assertion fixture,proxy signing key or trust anchor and allowed-source policy,untrusted source bad signature replay expired assertion wrong audience,fail,not_started,Real QA must prove trusted source signature freshness audience and redaction.
